# Wikidata_country_ID | Country name in English | in Russian
805 | Yemen | Йемен
804 | Panama | Панама
801 | Israel | Израиль
800 | Costa Rica | Коста-Рика
709 | Marshall Islands | Маршалловы Острова
702 | Federated States of Micronesia | Федеративные Штаты Микронезии
419 | Peru | Перу
668 | India | Индия
1019 | Madagascar | Мадагаскар
664 | New Zealand | Новая Зеландия
414 | Argentina | Аргентина
142 | France | Франция
55 | Netherlands | Нидерланды
145 | United Kingdom | Великобритания
781 | Antigua and Barbuda | Антигуа и Барбуда
148 | China | Китайская Народная Республика
783 | Honduras | Гондурас
784 | Dominica | Доминика
786 | Dominican Republic | Доминиканская Республика
924 | Tanzania | Танзания
1011 | Cape Verde | Кабо-Верде
833 | Malaysia | Малайзия
711 | Mongolia | Монголия
710 | Kiribati | Кирибати
836 | Myanmar | Мьянма
837 | Nepal | Непал
183 | Germany | Германия
408 | Australia | Австралия
252 | Indonesia | Индонезия
399 | Armenia | Армения
398 | Bahrain | Бахрейн
403 | Serbia | Сербия
907112 | Transnistria | Приднестровская Молдавская Республика
657 | Chad | Чад
258 | South Africa | Южно-Африканская Республика
45 | Portugal | Португалия
159 | Russia | Россия
43 | Turkey | Турция
40 | Austria | Австрия
41 | Greece | Греция
155 | Brazil | Бразилия
792 | El Salvador | Сальвадор
790 | Haiti | Республика Гаити
796 | Iraq | Ирак
34754 | Somaliland | Сомалиленд
794 | Iran | Иран
954 | Zimbabwe | Зимбабве
889 | Afghanistan | Афганистан
884 | South Korea | Республика Корея
958 | South Sudan | Южный Судан
881 | Vietnam | Вьетнам
986 | Eritrea | Эритрея
826 | Maldives | Мальдивы
822 | Lebanon | Ливан
241 | Cuba | Куба
242 | Belize | Белиз
244 | Barbados | Барбадос
983 | Equatorial Guinea | Экваториальная Гвинея
23681 | Northern Cyprus | Турецкая Республика Северного Кипра
33 | Finland | Финляндия
32 | Luxembourg | Люксембург
31 | Belgium | Бельгия
30 | United States | Соединённые Штаты Америки
37 | Lithuania | Литва
36 | Poland | Польша
35 | Denmark | Дания
34 | Sweden | Швеция
928 | Philippines | Филиппины
929 | Central African Republic | Центральноафриканская Республика
39 | Switzerland | Швейцария
38 | Italy | Италия
858 | Syria | Сирия
423 | North Korea | Корейская Народно-Демократическая Республика
953 | Zambia | Замбия
851 | Saudi Arabia | Саудовская Аравия
733 | Paraguay | Парагвай
29999 | Kingdom of the Netherlands | Королевство Нидерландов
854 | Sri Lanka | Шри-Ланка
734 | Guyana | Гайана
819 | Laos | Лаос
40362 | Sahrawi Arab Democratic Republic | Сахарская Арабская Демократическая Республика
730 | Suriname | Суринам
1013 | Lesotho | Лесото
235 | Monaco | Монако
236 | Montenegro | Черногория
237 | Vatican City | Ватикан
230 | Georgia (country) | Грузия
232 | Kazakhstan | Казахстан
233 | Malta | Мальта
334 | Singapore | Сингапур
238 | San Marino | Сан-Марино
20 | Norway | Норвегия
1045 | Somalia | Сомали
1044 | Sierra Leone | Сьерра-Леоне
1042 | Seychelles | Сейшельские Острова
1041 | Senegal | Сенегал
27 | Republic of Ireland | Ирландия
28 | Hungary | Венгрия
